POSCAR,Slab,ECOOH*,GCOOH*,E_CO2,G_CO2,EH2,G_H2,deta_E_COOH,ZPE_COOH,Cp_COOH,Ts_COOH,Correction_COOH*,deta_G_COOH*
5_La_23,-495.99 ,-533.02 ,-532.48965,-22.51 ,-22.76 ,-9.25 ,-7.03 ,-11.01 ,0.62,0.1,-0.19,0.53,-10.22665
6_La_18,-495.99 ,-530.62 ,-530.09459,-22.51 ,-22.76 ,-9.35 ,-7.03 ,-8.61 ,0.62,0.1,-0.19,0.53,-7.83159
7_La_16,-495.99 ,-529.15 ,-528.62143,-22.51 ,-22.76 ,-9.45 ,-7.03 ,-7.14 ,0.62,0.1,-0.19,0.53,-6.35843
8_La_10,-495.99 ,-530.74 ,-530.2127,-22.51 ,-22.76 ,-9.56 ,-7.03 ,-8.73 ,0.62,0.1,-0.19,0.53,-7.9497
9_La_8,-495.99 ,-530.95 ,-530.4217,-22.51 ,-22.76 ,-9.66 ,-7.03 ,-8.94 ,0.62,0.1,-0.19,0.53,-8.1587
10_Ni_56,-380.35 ,-410.52 ,-409.98839,-22.51 ,-22.76 ,-9.76 ,-7.03 ,-4.14 ,0.62,0.1,-0.19,0.53,-3.36255
1_Ni_53,-380.35 ,-410.98 ,-410.45058,-22.51 ,-22.76 ,-9.86 ,-7.03 ,-4.60 ,0.62,0.1,-0.19,0.53,-3.82474
2_Ni_9,-380.35 ,-410.37 ,-409.84294,-22.51 ,-22.76 ,-9.96 ,-7.03 ,-4.00 ,0.62,0.1,-0.19,0.53,-3.2171
4_Ni_61,-380.35 ,-411.50 ,-410.96666,-22.51 ,-22.76 ,-10.17 ,-7.03 ,-5.12 ,0.62,0.1,-0.19,0.53,-4.34082
5_Ni_23,-380.35084,-411.25554,-410.72554,-22.51 ,-22.76 ,-10.27 ,-7.03 ,-4.88 ,0.62,0.1,-0.19,0.53,-4.0997
6_Ni_18,-380.35084,-411.70728,-411.17728,-22.51 ,-22.76 ,-10.37 ,-7.03 ,-5.33 ,0.62,0.1,-0.19,0.53,-4.55144
7_Ni_16,-380.35084,-411.40599,-410.87599,-22.51 ,-22.76 ,-10.47 ,-7.03 ,-5.03 ,0.62,0.1,-0.19,0.53,-4.25015
8_Ni_10,-380.35084,-411.71253,-411.18253,-22.51 ,-22.76 ,-10.58 ,-7.03 ,-5.34 ,0.62,0.1,-0.19,0.53,-4.55669
10_Sn_56,-335.87 ,-361.33 ,-360.80 ,-22.51 ,-22.76 ,-6.70 ,-7.03 ,0.56 ,0.62,0.1,-0.19,0.53,1.34 
1_Sn_53,-335.87 ,-361.31 ,-360.78 ,-22.51 ,-22.76 ,-7.04 ,-7.03 ,0.58 ,0.62,0.1,-0.19,0.53,1.36 
2_Sn_9,-335.87 ,-361.33 ,-360.80 ,-22.51 ,-22.76 ,-7.04 ,-7.03 ,0.57 ,0.62,0.1,-0.19,0.53,1.35 
3_Sn_1,-335.87 ,-361.33 ,-360.80 ,-22.51 ,-22.76 ,-7.04 ,-7.03 ,0.56 ,0.62,0.1,-0.19,0.53,1.34 
4_Sn_61,-335.87 ,-361.33 ,-360.80 ,-22.51 ,-22.76 ,-7.04 ,-7.03 ,0.57 ,0.62,0.1,-0.19,0.53,1.35 
5_Sn_23,-335.87 ,-361.44 ,-360.91 ,-22.51 ,-22.76 ,-7.04 ,-7.03 ,0.45 ,0.62,0.1,-0.19,0.53,1.23 
6_Sn_18,-335.87 ,-361.44 ,-360.91 ,-22.51 ,-22.76 ,-7.04 ,-7.03 ,0.45 ,0.62,0.1,-0.19,0.53,1.23 
7_Sn_16,-335.87 ,-361.34 ,-360.81 ,-22.51 ,-22.76 ,-7.14 ,-7.03 ,0.56 ,0.62,0.1,-0.19,0.53,1.34 
8_Sn_10,-335.87 ,-361.46 ,-360.93 ,-22.51 ,-22.76 ,-7.17 ,-7.03 ,0.44 ,0.62,0.1,-0.19,0.53,1.22 
9_Sn_8,-335.87 ,-361.46 ,-360.93 ,-22.51 ,-22.76 ,-7.21 ,-7.03 ,0.44 ,0.62,0.1,-0.19,0.53,1.22 
